,first_name,last_name,sex,nation,adress,province_code,postal_code,email,birthday,age,marital_status,income_per_month,last_education
55,Luky,Ariya,Unknown,Indonesian,"DANGE AJI, AIR BESAR, LANDAK",,79365,ariya2zv@whyspam.me,15 July 1991,30.0,married,Rp.20250000,Bachelor's degree
56,Rahmat,,Unknown,Indonesian,"RADABATA, GOLEWA, NGADA",,86461,dhana@mail2dillon.com,31 July 1985,36.0,single,Rp.46100000,S-1
57,Erwiana,Khairunnisa,F,Indonesian,"BUNTEN BARAT, KETAPANG, SAMPANG",,69261,oasznht@mail2plato.com,29 September 1989,96.0,divorced,Rp4550000,S-1
58,Bachtiar,,M,Indonesian,"PILIBAGA, MULIAMA, JAYAWIJAYA",,99554,bachtiarkusumo@planetmail.com,26 May 1983,39.0,divorced,Rp 30700000,Bachelor's degree
59,Putu,Junita,F,Indonesian,"SIANTAR TONGA TONGA I, SIANTAR NARUMONDA, TOBA SAMOSIR",,22384,junitalou@emailgroups.net,23 August 1982,39.0,single,Rp13050000,Master's degree
60,Widyaningsih,Shwita,F,Indonesian,"BIRAM CUT, TANAH JAMBO AYE, ACEH UTARA",,24394,widyaningsihshwitaq@mail2tony.com,28 July 1998,23.0,menikah,Rp.37500000,Bachelor's degree
61,Adi,Priyanto,M,Indonesian,"KERTOSONO, GADING, PROBOLINGGO",,67292,priyantoadigcj@lex.bg,31 May 1995,27.0,married,Rp39350000,S-1
62,Panca,Ardy,M,Indonesian,"KINEBE, TAGIME, TOLIKARA",,99561,ardypanca@mail2japanese.com,22 July 1995,26.0,single,Rp 37700000,High school graduate
63,Aqnes,Kalsum,F,Indonesian,"NDONDO, KOTABARU, ENDE",,86111,aqnes_hp@mail2jazz.com,19 May 1991,,single,Rp49300000,High school graduate
64,Norjannah,,F,Indonesian,"GARONGAN, PANJATAN, KULON PROGO",,55655,norjannahdy@mail2gloria.com,18 June 1994,,married,Rp 44550000,Bachelor's degree
65,Ayub,Mustofa,M,Indonesian,"SEUBAN LHOK, MANTASIEK (MONTASIK), ACEH BESAR",,23362,mustofaayub@bornagain.com,02 June 1985,-37.0,married,Rp13900000,Bachelor's degree
66,Kadir,,M,Indonesian,"RONTA, BONEGUNU, BUTON UTARA",,93673,budikadir3wd@koszmail.pl,22 November 1995,26.0,married,Rp.38250000,Bachelor's degree
67,Izzak,Kamaruzzaman,M,Indonesian,"PUNGGAWAN, BANJARSARI, SURAKARTA (SOLO)",,57132,izzakum@xoommail.com,03 January 1988,,menikah,Rp 12150000,Bachelor's degree
68,Ipa,Septuagesima,F,Indonesian,"TANJUNG SELAMAT, PADANG TUALANG, LANGKAT",,20852,ipaseptuagesimaol@dynamitemail.com,06 December 1980,nan,married,Rp25200000,S1
69,Farihah,Jamilah,F,Indonesian,"TAWANGSARI, KALIGESING, PURWOREJO",,54175,farihahjamilah9z@populus.net,07 August 1993,,single,Rp.7600000,High school graduate
70,Muhaimin,Krisno,,Indonesian,"KEBONDALEM, KENDAL, KENDAL",,51318,muhaiminkrisno@batuta.net,08 January 1981,41.0,married,Rp27500000,S-1
71,Muhtadi,,,Indonesian,"KUTE RAMBE, DARUL HASANAH, ACEH TENGGARA",,24653,ismatullahmuhtadi1@mail2suzie.com,09 August 1995,26.0,married,Rp.28350000,S1
72,Hamdiyah,Saripa,F,Indonesian,"SIRANINDI, PALU BARAT, PALU",,94221,saripa@fortuncity.com,02 December 1982,39.0,belum menikah,Rp.26450000,Bachelor's degree
73,Sitti,,F,Indonesian,"PAGENDINGAN, GALIS, PAMEKASAN",,69382,sittibahirahz@saintmail.net,08 October 1999,22.0,single,Rp1850000,S1
74,Anugrah,Susilo,M,Indonesian,"PENGUHAPAN, BABUL RAHMAH, ACEH TENGGARA",11.0,24673,_lc88_s@mymail.ro,01 August 1989,-32.0,divorced,Rp 6100000,Bachelor's degree
75,Mukhlis,,M,Indonesian,"TANJUNGSARI, SUKOMANUNGGAL, SURABAYA",35.0,60187,seninmukhlisg@mail2joe.com,01 October 1988,33.0,single,Rp4200000,Bachelor's degree
76,Erviana,,,Indonesian,"CIBATU, CISAAT, SUKABUMI",,43152,ratihh@mail2gabon.com,07 November 1992,29.0,married,Rp25050000,Bachelor's degree
77,Abdrazak,Naufal,,Indonesian,"MUARA DUA, PULAU PANGGUNG, TANGGAMUS",,35679,abdrazakkl0@mail2dave.com,27 July 1998,,married,Rp1250000,Doctorate degree
78,Mutya,Ipa,F,Indonesian,"SUKOANYAR, TURI, LAMONGAN",,62252,mutya918@jazzandjava.com,25 October 1995,,married,Rp.20550000,Bachelor's degree
79,Eni,Yunita,F,Indonesian,"AYEKI, ERAGAYAM, MAMBERAMO TENGAH",,99553,eniyunita51@e-mail.dk,23 April 1999,23.0,lajang,Rp 35500000,Bachelor's degree
80,Sutrisno,Fahmi,M,Indonesian,"PUTIH, GAMPENGREJO, KEDIRI",35.0,64182,fahmisutrisnonp@go4.it,08 October 1990,31.0,married,Rp.13150000,Master's degree
81,Nurdin,Memet,,Indonesian,"BENDA, SUKAMULYA, TANGERANG",,15610,nurdin@centermail.at,11 September 1980,,single,Rp 44650000,Bachelor's degree
82,Arsyad,,M,Indonesian,"REONG, DUSUN UTARA, BARITO SELATAN",,73752,nurdinarsyadv@techscout.com,20 October 1988,33.0,single,Rp.23050000,Bachelor's degree
83,Harjo,Muhaimin,M,Indonesian,"PAYA GAMBAR, BATANG KUIS, DELI SERDANG",,20372,muhaiminharjo8#mail2ned.com,27 June 1985,,single,Rp.27450000,Bachelor's degree
84,Faesal,Muslim,M,Indonesian,"BATU MBERONG, BADAR, ACEH TENGGARA",,24652,muslim4@adam.com.au,11 February 1991,62.0,married,Rp.28600000,S2
85,Subroto,Widodo,M,Indonesian,"LAKAWALI, MALILI, LUWU TIMUR",,92981,subroto571@indeedemail.com,21 September 1996,,married,Rp.7100000,Bachelor's degree
86,Isnin,Jaka,M,Indonesian,"TANJUNG, BENDO, MAGETAN",,63384,jakaisninb@yahoo.com.is,14 December 1988,-33.0,married,Rp.13000000,SMK
87,Ariya,Meurah,Unknown,Indonesian,"TERNATE BARU, SINGKIL, MANADO",,95232,meurahvp@yahoo.com.tw,08 May 1995,27.0,single,Rp.6550000,S-2
88,Effendie,Chalid,M,Indonesian,"TIGO BALAI, MATUR, AGAM",,26162,effendiek7@alumni.com,09 December 1998,,single,Rp.37100000,S1
89,Harta,,M,Indonesian,"GONDANGWAYANG, KEDU, TEMANGGUNG",,56252,brqpur@mail2niger.com,07 April 1983,39.0,divorced,Rp 31000000,Bachelor's degree
90,Jadid,Nikson,M,Indonesian,"NYUH TEBEL, MANGGIS, KARANGASEM",,80871,nikson@funky4.com,07 May 1990,32.0,belum menikah,Rp 17900000,S-1
91,Made,Darmawati,F,Indonesian,"PASI RAWA, KOTA SIGLI, PIDIE",,24116,made_6@mail2joe.com,19 January 1993,29.0,single,Rp 19000000,Bachelor's degree
92,Muhamad,Cahyono,M,Indonesian,"SEUNEUBOK PADANG, TEUNOM, ACEH JAYA",,23653,cahyonomuhamadyvx@from-africa.com,28 June 1984,37.0,single,Rp 35150000,Bachelor's degree
93,Dellia,,F,Indonesian,"ASINOWOWO, KONAWE, KONAWE",,93461,dewib@every1.net,12 August 1994,,divorced,Rp6200000,Bachelor's degree
94,Hasibah,Hawariah,,Indonesian,"ONAN RUNGGU I, SIPAHUTAR, TAPANULI UTARA",,22471,h2fq8lel@okbank.com,11 January 1995,,single,Rp 39500000,High school graduate
95,Saepudin,Mega,M,Indonesian,"KARANGTENGAH, SUBAH, BATANG",,51262,saepudinfd@jakuza.hu,02 July 1997,24.0,divorced,Rp.45900000,Bachelor's degree
96,Wirawan,,,Indonesian,"COT MONTIWAN, INGIN JAYA, ACEH BESAR",,23371,syamsudinwirawan@linktrader.com,07 October 1981,,single,Rp9300000,S1
97,Khaerunisa,Bernardia,,Indonesian,"SUKAMULYA, CIPONGKOR, BANDUNG BARAT",,40564,khaerunisabe@super-auswahl.de,12 February 1989,33.0,married,Rp800000,S1
98,Keumalahayati,Atiyah,F,Indonesian,"MUARA SOMA, BATANG NATAL, MANDAILING NATAL",12.0,22983,keumalahayatikg@italymail.com,08 March 1993,,married,Rp 5300000,Bachelor's degree
99,Aviana,,,Indonesian,"LILINA AJANGALE, ULAWENG, BONE",,92762,luthfiahaviana8@techspot.com,20 October 1983,,single,Rp 650000,Bachelor's degree
100,Widodo,Budhi,M,Indonesian,"TOREY, RASIEI, TELUK WONDAMA",92.0,98362,widodobudhia7@juniormail.com,30 July 1997,24.0,married,Rp.9800000,Doctorate degree
101,Durahman,,M,Indonesian,"RUHING RAYA, GUNUNG BINTANG AWAI, BARITO SELATAN",,73753,durahmanmc7@dropzone.com,30 August 1989,,cerai,Rp.46700000,Bachelor's degree
102,Saniah,,,Indonesian,"PAKASAI, PARIAMAN TIMUR, PARIAMAN",,25524,juwariyahsaniahw@nuvse.com,08 October 1990,31.0,divorced,Rp5200000,Bachelor's degree
103,Surya,Harta,M,Indonesian,"KERTOSARI, TANJUNG SARI, LAMPUNG SELATAN",,35361,surya@footard.com,15 July 1983,38.0,single,Rp.14550000,Doctorate degree
104,Bentang,Ratnacandra,Unknown,Indonesian,"BABADAN, WLINGI, BLITAR",,66184,bentangratnacandrasw@us.af,20 September 1981,40.0,lajang,Rp.500000,S-3
105,Ferisca,Deuis,F,Indonesian,"MEKAR NAULI, SIANTAR MARIHAT, PEMATANG SIANTAR",,21129,deuisferiscak@mail2ryan.com,19 September 1981,,married,Rp.33950000,Bachelor's degree
106,Yacub,,,Indonesian,"MUKTI LINCIR, KOTA BAHARU, ACEH SINGKIL",,24784,yacubit@netterchef.de,03 July 1995,,divorced,Rp.3200000,S2
107,Cahaya,,F,Indonesian,"BAYUNGCERIK, KINTAMANI, BANGLI",,80652,cahayadewiana9@mail2denmark.com,07 September 1986,,single,Rp46500000,High school graduate
108,Witri,,F,Indonesian,"SUESI, WERIMA, YAHUKIMO",,99571,hafisahwitrizu@fastmail.es,08 September 1989,32.0,single,Rp38850000,High school graduate
109,Alam,Muslim,,Indonesian,"BATUALU, SANGALLA SELATAN, TANA TORAJA",73.0,91881,muslimzd@nervmich.net,14 April 1991,31.0,married,Rp.9450000,Bachelor's degree
110,Adithya,,,Indonesian,"ULUM, WELAREK, YALIMO",,99585,adithyaamatm@t-online.de,18 April 1982,40.0,divorced,Rp.13600000,Master's degree
111,Durahman,,M,Indonesian,"RUHING RAYA, GUNUNG BINTANG AWAI, BARITO SELATAN",,73753,durahmanmc7@dropzone.com,30 August 1989,,cerai,Rp.46700000,Bachelor's degree
112,Timotius,,,Indonesian,"RIWA, BATU MANDI, BALANGAN",,71663,timotiusj1a@onlatedotcom.info,17 March 1994,-28.0,married,Rp 45150000,S1
113,Setyaningsih,Osha,,Indonesian,"MOLA NELAYAN BAKTI / BHAKTI, WANGI-WANGI SELATAN, WAKATOBI",,93795,osha3d@netradiomail.com,11 August 1997,24.0,single,Rp.9200000,S-2
114,Rugayah,Jelita,,Indonesian,"TEMPURSARI, SAPURAN, WONOSOBO",33.0,56373,jelitay@mail2color.com,21 September 1981,-40.0,single,Rp.15250000,Bachelor's degree
115,Mubarok,Helmi,M,Indonesian,"PARIT BARU, SALATIGA, SAMBAS",,79453,helmi45@webadicta.org,07 September 1988,-33.0,menikah,Rp 8100000,Bachelor's degree
116,Redha,Pamungkas,M,Indonesian,"HEGARMANAH, CIDOLOG, CIAMIS",,46352,pamungkasredhasz@hotmail.my,07 October 1987,34.0,lajang,Rp16150000,Bachelor's degree
117,Alif,Bagoes,M,Indonesian,"KASROMEGO, BEDUAI (BEDUWAI), SANGGAU",,78555,bagoes@eudoramail.com,08 August 1985,36.0,divorced,Rp.18400000,Master's degree
118,Noldi,Marzuki,,Indonesian,"NUNGKIMOR, HINGK, PEGUNUNGAN ARFAK",,98357,noldimarzuki_kd@mail2phil.com,05 February 1980,42.0,belum menikah,Rp.34250000,Bachelor's degree
119,Suryo,Zulfadli,M,Indonesian,"PULAU PANGGUNG, ABUNG TINGGI, LAMPUNG UTARA",,34556,zulfadlisuryof@mail2aquarius.com,29 December 1994,,lajang,Rp.5600000,Bachelor's degree
120,Syahnaz,,,Indonesian,"KALAI DUAI, ARMA JAYA, BENGKULU UTARA",,38611,syahnazkautsaro#cybercity-online.net,21 October 1981,40.0,single,Rp12500000,Bachelor's degree
121,Dicky,Muhammat,M,Indonesian,"PANGAWINAN, BANDUNG, SERANG",,42176,muhammatdickyu@gyorsposta.hu,28 September 1995,26.0,single,Rp 16400000,Bachelor's degree
122,Memet,Ichsan,M,Indonesian,"BERUMBUNG BARU (TILAN), DAYUN, SIAK",,28671,memet3fo@guyanafriends.com,24 December 1980,,single,Rp35700000,Bachelor's degree
123,Waliyuddin,,M,Indonesian,"SASA, TERNATE SELATAN (KOTA), TERNATE",,97719,abdullahm4@anti-ignorance.net,08 July 1988,,single,Rp 14750000,Bachelor's degree
124,Chairuddin,,M,Indonesian,"WANA MAKMUR, SEMENDAWAI TIMUR, OGAN KOMERING ULU TIMUR",,32185,hidayatullahxz@mail2eat.com,02 June 1990,96.0,single,Rp 31500000,S2
125,Kautsar,Qalbinur,Unknown,Indonesian,"DURIAN BUBUR, TALO, SELUMA",17.0,38874,kautsaro@ihateclowns.com,08 February 1987,35.0,married,Rp 19550000,Master's degree
126,Khairiyah,Rugayah,,Indonesian,"TANJUNG KELIT, SENAYANG, LINGGA",,29873,khairiyahh&fromtennessee.com,09 August 1994,,single,Rp.17200000,Bachelor's degree
127,Rezky,Man,Unknown,Indonesian,"GUNUNG SARI, BUMIAJI, BATU",35.0,65337,rezky_@indomail.com,10 July 1986,35.0,married,Rp 38450000,High school graduate
128,Raya,Putu,F,Indonesian,"PANDAK, BALONG, PONOROGO",,63461,rayaputur@mail2scott.com,23 August 1999,,single,Rp.33700000,S-1
129,Wisnu,Tana,M,Indonesian,"TUMBANG POSU, DAMANG BATU, GUNUNG MAS",62.0,74553,tana7t@marketing.lu,05 January 1992,30.0,single,Rp9400000,S-1
130,Muhamat,Hakim,M,Indonesian,"BUWEK, RANDUAGUNG, LUMAJANG",,67354,hakimmuhamatzr@spamdecoy.net,26 December 1987,,single,Rp 30000000,S1
131,Adityo,Helmi,M,Indonesian,"TEGALSARI TIMUR, AMPELGADING, PEMALANG",,52364,adityohelmi6r@mail2northamerica.com,15 June 1987,,belum menikah,Rp350000,Bachelor's degree
132,Ramli,Angkasa,M,Indonesian,"PATTONGKO, TELLU LIMPOE, SINJAI",,91671,angkasa6@blueyonder.co.uk,22 March 1990,,single,Rp.46300000,High school graduate
133,Rata,Ratna,,Indonesian,"LONGORI  /  LANGORI, BAULA, KOLAKA",,93561,ratna_o@centrum.sk,24 November 1982,,single,Rp.42150000,S-1
134,Shofiyah,Syahidah,F,Indonesian,"PONDOK WULUH, LECES, PROBOLINGGO",,67273,c30r_@forgetmail.com,08 April 1995,27.0,single,Rp22100000,High school graduate
135,Saifuddin,,,Indonesian,"CIDADAP, SIMPENAN, SUKABUMI",,43361,4jnlxw@mail2turbo.com,20 October 1980,41.0,single,Rp46350000,S2
136,Zuraida,Nadimah,F,Indonesian,"TIMBANG LAWAN, NAMO RAMBE, DELI SERDANG",,20356,zuraidanadimah7o@mail2culture.com,15 November 1985,36.0,single,Rp 4000000,Bachelor's degree
137,Azan,,M,Indonesian,"LINTANG PELAMAN, KAPUAS (SANGGAU KAPUAS), SANGGAU",,78516,azan29#movieemail.net,05 July 1980,41.0,divorced,Rp 14100000,Master's degree
138,Budiono,,,Indonesian,"LINDUK, SURU-SURU, ASMAT",,99778,riduanbudionoo@freesurf.nl,11 February 1989,33.0,single,Rp19450000,S1
139,Abdi,Khakim,M,Indonesian,"RIMBA JAYA, MERAUKE, MERAUKE",,99611,abdikhakimg@lycos.ru,22 November 1990,31.0,married,Rp 13600000,Master's degree
140,Yacub,,,Indonesian,"MUKTI LINCIR, KOTA BAHARU, ACEH SINGKIL",,24784,yacubit@netterchef.de,03 July 1995,,divorced,Rp.3200000,S2
141,Asef,Zul,M,Indonesian,"LUBUK BESAR, TIANG PUMPUNG KEPUNGUT, MUSI RAWAS",,31661,zulb@taotaotano.com,04 June 1988,34.0,married,Rp11650000,Bachelor's degree
142,Sugeng,Rohim,M,Indonesian,"DINDOK, HILIPUK, YAHUKIMO",,99578,sugengrohim@socialworker.net,02 March 1999,23.0,divorced,Rp29250000,S1
143,Budiharto,,M,Indonesian,"EMPURA, KETUNGAU HULU, SINTANG",,78654,nugrahavk@gehensiemirnichtaufdensack.de,23 May 1998,96.0,single,Rp 18050000,Bachelor's degree
144,Indera,,M,Indonesian,"KALONGAN, UNGARAN TIMUR, SEMARANG",,50519,buanaindera3@wrongmail.com,02 August 1996,,menikah,Rp.27700000,Bachelor's degree
145,Syahidah,Nafisah,F,Indonesian,"BRABO, TANGGUNGHARJO, GROBOGAN",,58166,syahidahyac@icqmail.com,15 November 1998,23.0,single,Rp 44800000,Bachelor's degree
146,Aji,,M,Indonesian,"MADALE, POSO KOTA UTARA, POSO",,94614,memetaji0n4@mail2kyle.com,11 April 1994,28.0,single,Rp 20500000,S-1
147,Widiyanto,,,Indonesian,"PARLOMBUAN, PANGARIBUAN, TAPANULI UTARA",,22472,widiyanto@viewcastmedia.com,20 August 1988,,married,Rp38900000,Master's degree
